ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
712,MON,Elbegdorj,252,-888,democracy,0,0,7,7,Notfullhouse,7,1,Notfullhouse,,democracy,1,s_all,0
790,NEP,Man Mohan Adhilari,258,1,democracy,0,1,2,2,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
790,NEP,Sher Bahadur Deuba,259,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Lokendra Bahadur Chand,260,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Surya  Bahadur Thapa,261,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Girija Prasad Koirala,262,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
790,NEP,Krishna Prasad Bhatterai,263,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
790,NEP,Girija Prasad Koirala,264,1,democracy,0,0,3,3,fullhouse,1,1,fullhouse,,democracy,1,ins_all,1
790,NEP,Prachanda,271,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Madhav Kumar Nepal,272,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Nath Khanal,273,1,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Bhattarai,274,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Khil Raj Regmi,275,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Sushil Koirala,276,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
790,NEP,Khadga Prasad Sharma Oli,277,-888,democracy,0,0,1,1,Notfullhouse,1,0,Notfullhouse,,democracy,0,ins_all,1
93,NIC,Violeta Chamorro,278,1,transition,2,5,8,8,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
93,NIC,Aleman,279,1,democracy,0,0,6,6,Notfullhouse,6,0,Notfullhouse,,democracy,0,ins_t_s,1
93,NIC,Enrique Bolanos,280,1,democracy,0,0,6,6,fullhouse,3,1,fullhouse,,democracy,1,s_all,0
93,NIC,Daniel Ortega,281,-888,democracy,0,0,9,9,fullhouse,6,1,fullhouse,,democracy,1,shockt,1
95,PAN,Balladares,283,1,democratized,0,1,6,6,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
95,PAN,Mireya Moscoso,284,1,democracy,0,0,6,6,Dopposition,2,1,Dopposition,,democracy,1,ins_all,1
95,PAN,Martin Torrijos,285,1,democracy,0,0,1,1,Dopposition,1,0,Dopposition,,democracy,0,ins_all,1
95,PAN,Martinelli,286,1,democracy,0,0,10,10,Notfullhouse,8,1,Notfullhouse,,democracy,1,ins_t_s,1
95,PAN,Varela Rodriguez,287,-888,democracy,0,0,2,2,Notfullhouse,1,1,Notfullhouse,,democracy,1,s_all,0
135,PER,Alejandro Toledo,298,1,democratized,2,1,6,6,Notfullhouse,3,1,Notfullhouse,,democracy,1,ins_all,1
135,PER,Garcia Perez,299,1,democracy,0,0,6,6,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_t_s,1
